1,1,34737564
1,1,35166413
0,0,31234532
2,2,28950790
0,0,36167136
0,0,30296727
2,2,33423492
1,1,28682968
1,1,34706905
1,1,29422498
1,0,41180736
1,1,39887085
2,2,29052434
1,1,29437554
0,0,26224534
2,1,32546143
1,1,30415638
3,3,27759891
2,2,40580158
1,1,33915916
0,0,25650325
2,2,39046702
0,0,35154727
1,1,29596734
2,2,42379169
3,2,40640071
0,0,36167162
3,3,47341839
1,1,30836743
2,2,44460313
0,0,30195736
1,1,31169211
1,1,35723328
0,0,27456609
1,1,31100209
0,0,38159931
0,0,29660382
1,1,29394243
2,2,29453108
1,1,38281556
1,1,37125268
0,0,31487993
1,1,33074462
1,1,37101679
1,1,32117184
1,1,33212509
2,2,35911297
1,1,41125744
1,1,32095918
2,2,38234976
1,1,41821672
1,1,24520653
1,1,36566914
1,1,32343035
1,1,37929019
3,2,45371567
2,2,34043948
0,0,36586003
0,0,32989451
2,2,31907388
2,1,42405736
2,2,39816607
1,1,29861844
1,1,36056063
2,2,48344471
0,0,30356725
0,0,29825818
1,1,36899955
1,1,23315354
1,1,25973356
2,1,43888258
2,2,33290165
1,1,19712410
1,1,29840021
4,4,34417146
3,3,26971694
1,1,37575127
1,1,31106540
2,2,28982737
0,0,19942621
1,1,36408423
0,0,25443998
0,0,29477796
2,2,34247500
2,2,32471381
0,0,30358034
1,1,33220620
2,2,34583615
0,0,27922101
0,0,32920497
1,1,33233124
1,1,34177592
0,0,39684188
1,1,27850798
1,1,34338735
1,1,23078633
0,0,35872292
1,1,39152429
2,2,36649174
3,3,39542169
1,1,28828976
1,1,26181862
4,4,38243146
1,1,33611592
0,0,31529553
1,1,30817230
2,1,39396985
1,1,33513124
1,1,30646017
0,0,33112018
0,0,27713965
0,0,34209461
2,2,30152173
2,2,31263482
0,0,40440071
1,1,28439407
0,0,29690032
0,0,32025465
1,1,33663140
0,0,32181348
1,1,33064028
1,1,31834985
1,1,33743923
2,2,32832262
0,0,31617313
2,2,36070691
0,0,24184409
1,1,28866983
1,1,34750304
1,1,38968880
0,0,25623924
2,2,36484454
0,0,30688985
1,1,38056347
1,1,23537403
2,2,32321710
0,0,31880959
3,3,44638062
1,1,27319297
1,1,28467621
2,2,41656981
0,0,23071935
0,0,32527986
2,2,35022977
3,2,33765622
1,1,32542794
1,1,30172664
1,1,29469184
0,0,25635896
1,1,31488196
