4,4,34770225
2,2,31066335
2,2,33686377
0,0,28753253
1,1,37556646
1,1,30312294
1,1,39884701
0,0,29182075
1,1,41089781
2,2,35486302
4,4,51428872
2,2,39958293
1,1,40967991
0,0,34095171
1,1,32565458
1,1,35589484
1,1,29102821
1,1,32557844
0,0,29474251
1,0,38016255
2,2,41635302
2,2,42417449
2,2,38945513
1,1,36226742
1,1,28200641
2,2,31678116
0,0,24905090
2,2,42988401
1,1,37773422
1,1,44921563
1,1,39074670
2,2,30506215
1,1,37432797
1,1,40492971
2,1,44005766
1,1,37187723
2,2,31996782
2,2,32165085
1,1,38771709
1,1,24619770
1,1,32416965
0,0,38116550
3,3,35447824
1,1,34925848
1,1,25933520
2,2,30203269
1,1,33059261
2,2,42364694
6,5,37441139
0,0,34491195
3,2,45818348
1,1,34456719
2,2,42840361
2,1,31813010
2,2,39377711
1,1,32170419
2,2,36591396
1,1,37471014
1,1,34604693
2,2,39747386
0,0,30736968
1,1,31185886
1,0,40863307
3,2,35877589
1,1,37418836
0,0,33637068
1,1,40304006
1,1,34917845
1,1,30182214
1,1,36963556
2,2,34094208
2,2,29471879
0,0,35420282
2,2,37742692
3,3,34794450
1,1,27939154
1,1,35053032
2,2,35279759
1,1,25029051
1,1,28426939
2,2,31449602
3,3,46988378
1,1,32290645
1,1,37493919
1,1,22993396
1,1,27456930
1,1,29884701
2,2,30724326
1,1,34599398
1,1,22332369
0,0,35216154
0,0,34720946
1,1,35329905
1,1,25106665
3,3,36809231
2,2,33266975
1,1,34144198
0,0,25114810
1,1,35476485
3,3,32329609
