1,1,37879003
1,1,31285460
0,0,29054577
1,1,33258476
1,1,29605126
1,1,32988641
1,1,33042121
1,1,30651246
1,1,32316426
1,1,32654354
1,1,32823278
0,0,30875477
2,2,29063041
0,0,43286619
0,0,28761371
1,1,38188947
1,1,38332670
1,1,27493922
1,1,27348848
0,0,32815070
1,1,32497889
0,0,28273554
2,2,31974990
1,1,27634041
0,0,29414366
2,2,30066653
0,0,29664977
2,2,32468526
2,1,38919258
2,2,35774978
1,1,29688035
0,0,33713490
1,1,40515055
1,1,43899637
0,0,28438404
1,1,42350206
1,1,28575428
0,0,23506067
1,1,28058459
1,1,41161222
1,1,31809484
2,2,34396046
0,0,24151396
1,1,34565803
1,1,32360596
2,2,22986353
1,1,32456964
1,1,34132308
1,1,30034299
0,0,25486867
1,1,40602422
2,2,30945688
0,0,26597037
0,0,35876131
1,1,24847542
0,0,30913122
1,1,43198070
1,1,31144369
1,1,32072870
1,1,38049075
3,3,36600068
0,0,29400349
1,1,25950752
1,1,37007616
1,1,24997089
1,1,27814024
1,1,27056548
1,1,30572942
3,3,31325906
1,1,32201047
1,1,28606524
0,0,30042601
2,2,39818569
0,0,30863751
1,1,34912056
0,0,28934701
0,0,26795384
1,1,36761137
1,1,41470847
0,0,26513288
1,1,26087203
0,0,27163004
1,1,41011887
1,1,37185183
0,0,35426220
3,3,38234595
1,1,30540962
1,1,25828866
0,0,38016394
0,0,21007876
1,1,38297588
2,2,27406754
1,1,34767337
3,3,41899708
2,2,30469594
1,1,30103046
0,0,35690494
4,2,38875922
1,1,29151900
2,2,32364007
